"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean"
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,2
10,0,290,10,2
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,280,10,4
0,0,280,10,4
0,0,280,10,4
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
20,0,280,10,6
20,0,280,10,6
20,0,280,10,6
20,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
20,0,290,10,6
20,0,290,10,6
20,0,290,10,6
20,0,290,10,6
20,0,290,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
40,0,280,10,6
40,0,280,10,6
40,0,280,10,6
40,0,280,10,6
10,0,290,10,8
10,0,290,10,8
10,0,290,10,8
100,0.1,300,10,4
60,0.2,300,10,4
60,0.2,300,10,4
80,0.2,300,10,4
80,0.2,300,10,4
110,0.2,300,10,4
110,0.2,300,10,4
110,0.2,300,10,4
240,0.2,300,10,2
240,0.2,300,10,2
110,0.1,300,10,4
110,0.1,300,10,4
110,0.1,300,10,4
20,0,300,10,2
20,0,300,10,2
20,0,300,10,2
20,0,300,10,2
90,0.1,300,10,2
100,0.1,300,10,2
140,0,300,10,2
140,0,300,10,2
40,0.1,300,10,2
20,0,300,10,4
110,0.2,290,10,4
10,0.1,300,10,4
10,0.1,300,10,4
290,0.3,220,10,8
290,0.3,220,10,8
290,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
350,0.3,220,10,8
