"","species","countryCode","decimalLatitude","decimalLongitude"
"397","Anorrhinus galeritus","MY",5.0198,117.7462
"398","Anthracoceros malayanus","MY",5.53757,118.297104
"399","Anthracoceros malayanus","MY",5.477855,118.221375
"400","Buceros rhinoceros","MY",3.403415,101.84003
"401","Anorrhinus galeritus","MY",5.187311,118.502205
"402","Buceros rhinoceros","MY",5.192117,118.50312
"403","Buceros rhinoceros","MY",5.367517,117.42956
"404","Buceros rhinoceros","MY",4.409748,102.40358
"405","Rhabdotorrhinus corrugatus","MY",5.485703,118.287
"406","Anthracoceros malayanus","MY",5.468624,118.187744
"407","Anthracoceros albirostris","MY",5.511,118.2984
"408","Anthracoceros albirostris","MY",5.464946,118.25358
"409","Rhyticeros undulatus","MY",5.0198,117.7462
"410","Rhabdotorrhinus corrugatus","MY",5.477855,118.221375
"411","Rhabdotorrhinus corrugatus","MY",5.188412,118.50151
"412","Berenicornis comatus","MY",5.498167,118.280914
"413","Anthracoceros albirostris","MY",6.313526,99.853935
"414","Anthracoceros malayanus","MY",5.239341,118.71002
"415","Buceros rhinoceros","MY",5.189464,118.50067
"416","Rhabdotorrhinus corrugatus","MY",5.0198,117.7462
"417","Rhyticeros undulatus","MY",5.367517,117.42956
"418","Anthracoceros malayanus","MY",1.878107,103.91971
"419","Anthracoceros malayanus","MY",5.876139,117.944145
"420","Berenicornis comatus","MY",5.865728,117.95143
"421","Anthracoceros malayanus","MY",2.29987,103.65539
"422","Buceros rhinoceros","MY",5.0198,117.7462
"423","Buceros rhinoceros","MY",4.373932,115.4373
"424","Anthracoceros malayanus","MY",4.678866,102.057495
"425","Rhabdotorrhinus corrugatus","MY",5.477855,118.221375
"426","Buceros rhinoceros","MY",3.3264,101.7622
"427","Buceros rhinoceros","MY",5.87228,117.94325
"428","Berenicornis comatus","MY",5.189711,118.49996
"429","Anorrhinus galeritus","MY",5.239341,118.71002
"430","Anthracoceros albirostris","MY",4.9646,117.805
"431","Anthracoceros albirostris","MY",5.508082,118.28329
"432","Berenicornis comatus","MY",4.385003,102.40072
"433","Anthracoceros albirostris","MY",5.876139,117.944145
"434","Anthracoceros albirostris","MY",5.239341,118.71002
"435","Anorrhinus galeritus","MY",4.013764,103.02635
"436","Rhyticeros undulatus","MY",3.231072,101.72426
"437","Anorrhinus galeritus","MY",5.468624,118.187744
"438","Anthracoceros malayanus","MY",4.962297,117.80357
"439","Buceros rhinoceros","MY",5.876139,117.944145
"440","Anthracoceros malayanus","MY",3.943719,115.59697
"441","Berenicornis comatus","MY",5.876139,117.944145
"442","Rhyticeros undulatus","MY",4.962297,117.80357
"443","Anthracoceros malayanus","MY",4.443501,115.522064
"444","Anthracoceros albirostris","MY",3.757439,102.56562
"445","Anorrhinus galeritus","MY",5.498167,118.280914
"446","Anthracoceros albirostris","MY",4.962297,117.80357
"447","Rhabdotorrhinus corrugatus","MY",5.413775,118.00115
"448","Anthracoceros albirostris","MY",5.552004,118.33413
"449","Anthracoceros malayanus","MY",5.498167,118.280914
"450","Berenicornis comatus","MY",5.0198,117.7462
"451","Anorrhinus galeritus","MY",5.464946,118.25358
"452","Anthracoceros albirostris","MY",4.857081,100.74997
"453","Buceros rhinoceros","MY",5.53757,118.297104
"454","Anthracoceros malayanus","MY",5.876139,117.944145
"455","Anthracoceros malayanus","MY",5.0198,117.7462
"456","Anthracoceros malayanus","MY",5.0198,117.7462
"457","Buceros rhinoceros","MY",5.876236,117.94415
"458","Rhyticeros undulatus","MY",5.024613,117.748505
"459","Buceros rhinoceros","MY",5.367517,117.42956
"460","Anthracoceros malayanus","MY",5.876139,117.944145
"461","Berenicornis comatus","MY",5.876139,117.944145
"462","Buceros rhinoceros","MY",5.387614,117.40511
"463","Anthracoceros albirostris","MY",5.239341,118.71002
"464","Anorrhinus galeritus","MY",5.497735,118.280136
